,trigram,chi-sq
39,"('i̇zzet', 'ulvi', 'yönter')",65848006663.050095
40,"('i̇dare', 'mahkemelerinin', 'i̇şleyişinde')",57986022595.258156
41,"('ticari', 'i̇şlemlerde', 'rehni')",55482075158.38886
42,"('riski', 'dönüştürülmesi', '2981')",53090871907.76763
43,"('zülfi̇kar', 'i̇nönü', 'tümer')",52251910490.024124
44,"('65', 'doldurmuş', 'güçsüz')",50793661732.04792
45,"('abdullah', 'nejat', 'koçer')",50529740196.79996
46,"('sahi̇l', 'güvenli̇k', 'komutanliği')",50045671188.56488
47,"('yusuf', 'selahatti̇n', 'beyri̇bey')",48619236003.30098
48,"('gamze', 'akkuş', 'i̇lgezdi')",48338332446.49345
49,"('düşman', 'işgalinden', 'kurtuluşunun')",48224626065.46897
50,"('6785', 'i̇mar', 'kanununun')",46892928005.76505
51,"('türki̇ye', 'bi̇li̇msel', 'teknoloji̇k')",46235596498.17114
52,"('britanya', 'kuzey', 'i̇rlanda')",46007906597.341095
53,"('süreyya', 'sadi̇', 'bi̇lgi̇ç')",43753583611.55652
54,"('6306', 'riski', 'dönüştürülmesi')",41927305479.201744
55,"('anlam', 'öneminin', 'belirtilmesi')",40961595065.815735
56,"('oğuz', 'kaan', 'salici')",40952161604.056694
57,"('bölümler', 'görüşülecek', 'bölümlerde')",39217124724.49457
58,"('gamze', 'akkuş', 'i̇lgezdi̇')",38828708874.90432
59,"('gülmen', 'semih', 'özakça')",38647679263.13416
60,"('tutukevleri̇', 'i̇ş', 'yurtlari')",37888686536.59811
61,"('2022', '65', 'doldurmuş')",37057024138.45595
62,"('hasan', 'basri̇', 'kurt')",36147439561.666985
63,"('bedi̇a', 'özgökçe', 'ertan')",35966352416.27807
64,"('i̇şbi̇rli̇ği̇', 'anlaşmasinin', 'onaylanmasinin')",35553065331.07142
65,"('fahrettin', 'oğuz', 'tor')",35300855722.45625
66,"('di̇rayet', 'di̇lan', 'taşdemi̇r')",34730884996.53829
67,"('mecli̇si̇', 'tutanak', 'dergi̇si̇')",34302353513.535316
68,"('seçme', 'yerleşti̇rme', 'merkezi̇')",33876004432.331245
69,"('teşki̇lati', 'müsteşarliği', 'i̇stihbarat')",33155261156.986187
70,"('tabi̇i̇', 'bi̇lgi̇', 'teknoloji̇')",33143734314.00103
71,"('emi̇ne', 'nur', 'günay')",32382411435.732788
72,"('ravza', 'kavakci', 'kan')",31392575552.42373
73,"('kami̇l', 'okyay', 'sindir')",31240631156.04609
74,"('süleyman', 'sencer', 'ayata')",31214298028.68521
75,"('ni̇yazi̇', 'nefi̇', 'kara')",31174678414.42431
76,"('veki̇li̇', 'burhanetti̇n', 'uysal')",30909536011.271343
77,"('elini', 'kolunu', 'sallayarak')",30713636092.111977
78,"('sirri', 'süreyya', 'önder')",30621278682.039864
79,"('mi̇llet', 'mecli̇si̇', 'tutanak')",29993142413.33368
80,"('tutanak', 'dergi̇si̇', 'birleşim')",29964652794.403088
81,"('ölçekli', 'i̇şletmeleri', 'geliştirme')",29679207121.22604
82,"('i̇yileştirilmesi', 'i̇cra', 'i̇flas')",28922972559.44716
83,"('düşünülüp', 'düşünülmediğini', 'öğrenmek')",28139886179.88869
84,"('fahretti̇n', 'oğuz', 'tor')",27695927540.90375
85,"('türki̇ye', 'bi̇li̇mler', 'akademi̇si̇')",27672651353.632595
86,"('nurhayat', 'altaca', 'kayişoğlu')",27273164564.34132
87,"('yurtdişi', 'türkler', 'akraba')",27159854821.744766
88,"('etkileyen', 'unsurlar', 'boşanma')",26582089759.629322
89,"('tahsilat', 'ret', 'i̇adeler')",26415202266.1725
90,"('tasari', 'tekli̇fleri̇', 'i̇le')",26286199580.143734
91,"('kurumlari', 'i̇le', 'tutukevleri̇')",26286197702.24083
92,"('i̇lksen', 'ceri̇toğlu', 'kurt')",26256802325.236557
93,"('tekli̇fleri̇', 'i̇le', 'komi̇syonlardan')",26190482969.100487
94,"('teşebbüs', 'mülkiyet', 'gelirleri')",26147093436.775974
95,"('bedia', 'özgökçe', 'ertan')",25701326670.342957
96,"('zülfikar', 'i̇nönü', 'tümer')",25411734215.738113
97,"('emi̇ne', 'yavuz', 'gözgeç')",25274901045.5512
98,"('başkani', 'zi̇ya', 'altunyaldiz')",25135018722.497448
99,"('i̇mam', 'nimetullah', 'erdoğmuş')",25025070227.271175
